location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
per,mkt,monthly,vw_cap,na,4,na,1990-01-31,-0.528007318
per,mkt,monthly,vw_cap,na,4,na,1990-02-28,0.3571124871
per,mkt,monthly,vw_cap,na,5,na,1990-03-31,-0.642772239
per,mkt,monthly,vw_cap,na,5,na,1990-04-30,0.0729358924
per,mkt,monthly,vw_cap,na,5,na,1990-05-31,0.3997281432
per,mkt,monthly,vw_cap,na,5,na,1990-06-30,0.3132704897
per,mkt,monthly,vw_cap,na,5,na,1990-07-31,0.7484488294
per,mkt,monthly,vw_cap,na,5,na,1990-08-31,1.1602009765
per,mkt,monthly,vw_cap,na,5,na,1990-09-30,1.494016
per,mkt,monthly,vw_cap,na,5,na,1990-10-31,-0.455073921
per,mkt,monthly,vw_cap,na,5,na,1990-11-30,-0.248579304
per,mkt,monthly,vw_cap,na,5,na,1990-12-31,-0.797655687
per,mkt,monthly,vw_cap,na,5,na,1991-01-31,-0.301166726
per,mkt,monthly,vw_cap,na,5,na,1991-02-28,-0.276687764
per,mkt,monthly,vw_cap,na,4,na,1991-03-31,0.0406761544
per,mkt,monthly,vw_cap,na,4,na,1991-04-30,0.1073870654
per,mkt,monthly,vw_cap,na,5,na,1991-05-31,0.3165506748
per,mkt,monthly,vw_cap,na,5,na,1991-06-30,-0.015391113
per,mkt,monthly,vw_cap,na,5,na,1991-07-31,-0.063724472
per,mkt,monthly,vw_cap,na,5,na,1991-08-31,0.0142369918
per,mkt,monthly,vw_cap,na,5,na,1991-09-30,0.3212944339
per,mkt,monthly,vw_cap,na,5,na,1991-10-31,-0.173105463
per,mkt,monthly,vw_cap,na,5,na,1991-11-30,0.0379675192
per,mkt,monthly,vw_cap,na,5,na,1991-12-31,-0.112214895
per,mkt,monthly,vw_cap,na,5,na,1992-01-31,8.8464027966
per,mkt,monthly,vw_cap,na,5,na,1992-02-29,0.4520158748
per,mkt,monthly,vw_cap,na,5,na,1992-03-31,-0.04096591
per,mkt,monthly,vw_cap,na,5,na,1992-04-30,-0.074667508
per,mkt,monthly,vw_cap,na,5,na,1992-05-31,0.0196079458
per,mkt,monthly,vw_cap,na,5,na,1992-06-30,-0.220194944
per,mkt,monthly,vw_cap,na,7,na,1992-07-31,-0.155173944
per,mkt,monthly,vw_cap,na,7,na,1992-08-31,0.138290182
per,mkt,monthly,vw_cap,na,7,na,1992-09-30,-0.382836618
per,mkt,monthly,vw_cap,na,7,na,1992-10-31,0.1903726813
per,mkt,monthly,vw_cap,na,7,na,1992-11-30,0.0533392949
per,mkt,monthly,vw_cap,na,7,na,1992-12-31,0.7140830656
per,mkt,monthly,vw_cap,na,7,na,1993-01-31,-0.211594873
per,mkt,monthly,vw_cap,na,7,na,1993-02-28,0.0738950345
per,mkt,monthly,vw_cap,na,7,na,1993-03-31,0.2805873665
per,mkt,monthly,vw_cap,na,7,na,1993-04-30,-0.066770313
per,mkt,monthly,vw_cap,na,8,na,1993-05-31,0.0563711822
per,mkt,monthly,vw_cap,na,8,na,1993-06-30,0.2249880546
per,mkt,monthly,vw_cap,na,8,na,1993-07-31,-0.023653492
per,mkt,monthly,vw_cap,na,11,na,1993-08-31,0.1389031128
per,mkt,monthly,vw_cap,na,11,na,1993-09-30,-0.005842414
per,mkt,monthly,vw_cap,na,10,na,1993-10-31,0.154669747
per,mkt,monthly,vw_cap,na,12,na,1993-11-30,-0.194204699
per,mkt,monthly,vw_cap,na,12,na,1993-12-31,0.2266077548
per,mkt,monthly,vw_cap,na,12,na,1994-01-31,0.2244198036
per,mkt,monthly,vw_cap,na,14,na,1994-02-28,0.0606975968
per,mkt,monthly,vw_cap,na,15,na,1994-03-31,-0.001738757
per,mkt,monthly,vw_cap,na,16,na,1994-04-30,-0.04482137
per,mkt,monthly,vw_cap,na,16,na,1994-05-31,0.0188955563
per,mkt,monthly,vw_cap,na,17,na,1994-06-30,-0.086811065
per,mkt,monthly,vw_cap,na,17,na,1994-07-31,-0.018099058
per,mkt,monthly,vw_cap,na,17,na,1994-08-31,0.1185230423
per,mkt,monthly,vw_cap,na,17,na,1994-09-30,0.2319583528
per,mkt,monthly,vw_cap,na,17,na,1994-10-31,0.0040035063
per,mkt,monthly,vw_cap,na,17,na,1994-11-30,-0.044161429
per,mkt,monthly,vw_cap,na,17,na,1994-12-31,-0.008737482
per,mkt,monthly,vw_cap,na,17,na,1995-01-31,-0.181450198
per,mkt,monthly,vw_cap,na,17,na,1995-02-28,-0.052947222
per,mkt,monthly,vw_cap,na,17,na,1995-03-31,-0.018241594
per,mkt,monthly,vw_cap,na,17,na,1995-04-30,0.3253158874
per,mkt,monthly,vw_cap,na,17,na,1995-05-31,0.025511955
per,mkt,monthly,vw_cap,na,17,na,1995-06-30,-0.003865244
per,mkt,monthly,vw_cap,na,17,na,1995-07-31,0.0487892811
per,mkt,monthly,vw_cap,na,17,na,1995-08-31,0.0070598074
per,mkt,monthly,vw_cap,na,16,na,1995-09-30,-0.038521403
per,mkt,monthly,vw_cap,na,16,na,1995-10-31,-0.072736507
per,mkt,monthly,vw_cap,na,16,na,1995-11-30,0.0315092212
per,mkt,monthly,vw_cap,na,15,na,1995-12-31,0.0558997363
per,mkt,monthly,vw_cap,na,15,na,1996-01-31,0.0466703025
per,mkt,monthly,vw_cap,na,17,na,1996-02-29,-0.020517906
per,mkt,monthly,vw_cap,na,17,na,1996-03-31,-0.033230175
per,mkt,monthly,vw_cap,na,17,na,1996-04-30,0.0558576007
per,mkt,monthly,vw_cap,na,17,na,1996-05-31,-0.068888952
per,mkt,monthly,vw_cap,na,29,na,1996-06-30,0.0269152512
per,mkt,monthly,vw_cap,na,29,na,1996-07-31,0.0341884077
per,mkt,monthly,vw_cap,na,29,na,1996-08-31,0.0390455991
per,mkt,monthly,vw_cap,na,29,na,1996-09-30,-0.021384399
per,mkt,monthly,vw_cap,na,30,na,1996-10-31,-0.052557482
per,mkt,monthly,vw_cap,na,29,na,1996-11-30,-0.066708106
per,mkt,monthly,vw_cap,na,29,na,1996-12-31,-0.017917416
per,mkt,monthly,vw_cap,na,28,na,1997-01-31,0.0831316284
per,mkt,monthly,vw_cap,na,29,na,1997-02-28,0.0408092336
per,mkt,monthly,vw_cap,na,28,na,1997-03-31,0.0120802983
per,mkt,monthly,vw_cap,na,31,na,1997-04-30,0.0546664737
per,mkt,monthly,vw_cap,na,29,na,1997-05-31,0.0745527296
per,mkt,monthly,vw_cap,na,27,na,1997-06-30,0.017739937
per,mkt,monthly,vw_cap,na,28,na,1997-07-31,-0.065022254
per,mkt,monthly,vw_cap,na,28,na,1997-08-31,-0.035734465
per,mkt,monthly,vw_cap,na,32,na,1997-09-30,-0.001957775
per,mkt,monthly,vw_cap,na,33,na,1997-10-31,-0.092460793
per,mkt,monthly,vw_cap,na,46,na,1997-11-30,-0.021478969
per,mkt,monthly,vw_cap,na,44,na,1997-12-31,0.0152121589
per,mkt,monthly,vw_cap,na,43,na,1998-01-31,-0.08499942
per,mkt,monthly,vw_cap,na,43,na,1998-02-28,-0.051850161
per,mkt,monthly,vw_cap,na,41,na,1998-03-31,0.0891260401
per,mkt,monthly,vw_cap,na,41,na,1998-04-30,0.0293309412
per,mkt,monthly,vw_cap,na,41,na,1998-05-31,-0.05611995
per,mkt,monthly,vw_cap,na,41,na,1998-06-30,-0.085001918
per,mkt,monthly,vw_cap,na,40,na,1998-07-31,0.0249275548
per,mkt,monthly,vw_cap,na,41,na,1998-08-31,-0.299673797
per,mkt,monthly,vw_cap,na,42,na,1998-09-30,-0.106172464
per,mkt,monthly,vw_cap,na,42,na,1998-10-31,0.0032994524
per,mkt,monthly,vw_cap,na,40,na,1998-11-30,0.1910482761
per,mkt,monthly,vw_cap,na,38,na,1998-12-31,-0.173261778
per,mkt,monthly,vw_cap,na,31,na,1999-01-31,-0.046106088
per,mkt,monthly,vw_cap,na,29,na,1999-02-28,-0.002883409
per,mkt,monthly,vw_cap,na,32,na,1999-03-31,0.1074503007
per,mkt,monthly,vw_cap,na,35,na,1999-04-30,0.0635140519
per,mkt,monthly,vw_cap,na,34,na,1999-05-31,0.0062462984
per,mkt,monthly,vw_cap,na,36,na,1999-06-30,-0.000074927
per,mkt,monthly,vw_cap,na,33,na,1999-07-31,-0.031108535
per,mkt,monthly,vw_cap,na,30,na,1999-08-31,-0.046777677
per,mkt,monthly,vw_cap,na,30,na,1999-09-30,0.0406691327
per,mkt,monthly,vw_cap,na,30,na,1999-10-31,-0.029775539
per,mkt,monthly,vw_cap,na,29,na,1999-11-30,0.0499935902
per,mkt,monthly,vw_cap,na,29,na,1999-12-31,-0.002775874
per,mkt,monthly,vw_cap,na,28,na,2000-01-31,0.0557840835
per,mkt,monthly,vw_cap,na,30,na,2000-02-29,0.0705362076
per,mkt,monthly,vw_cap,na,29,na,2000-03-31,-0.081650106
per,mkt,monthly,vw_cap,na,29,na,2000-04-30,-0.035056897
per,mkt,monthly,vw_cap,na,30,na,2000-05-31,-0.12345085
per,mkt,monthly,vw_cap,na,30,na,2000-06-30,0.0134008556
per,mkt,monthly,vw_cap,na,31,na,2000-07-31,-0.120173162
per,mkt,monthly,vw_cap,na,32,na,2000-08-31,-0.018984472
per,mkt,monthly,vw_cap,na,32,na,2000-09-30,-0.101653896
per,mkt,monthly,vw_cap,na,30,na,2000-10-31,-0.063061435
per,mkt,monthly,vw_cap,na,28,na,2000-11-30,-0.06950686
per,mkt,monthly,vw_cap,na,27,na,2000-12-31,-0.035049113
per,mkt,monthly,vw_cap,na,27,na,2001-01-31,0.0386138474
per,mkt,monthly,vw_cap,na,29,na,2001-02-28,-0.003893934
per,mkt,monthly,vw_cap,na,33,na,2001-03-31,-0.023597132
per,mkt,monthly,vw_cap,na,34,na,2001-04-30,-0.069392205
per,mkt,monthly,vw_cap,na,37,na,2001-05-31,0.0261688751
per,mkt,monthly,vw_cap,na,41,na,2001-06-30,0.0703352878
per,mkt,monthly,vw_cap,na,39,na,2001-07-31,-0.030263954
per,mkt,monthly,vw_cap,na,36,na,2001-08-31,-0.007381426
per,mkt,monthly,vw_cap,na,36,na,2001-09-30,-0.034977135
per,mkt,monthly,vw_cap,na,40,na,2001-10-31,-0.042448474
per,mkt,monthly,vw_cap,na,37,na,2001-11-30,0.0205025099
per,mkt,monthly,vw_cap,na,35,na,2001-12-31,-0.019517315
per,mkt,monthly,vw_cap,na,35,na,2002-01-31,0.0505719388
per,mkt,monthly,vw_cap,na,39,na,2002-02-28,0.0699275071
per,mkt,monthly,vw_cap,na,38,na,2002-03-31,0.0264920941
per,mkt,monthly,vw_cap,na,39,na,2002-04-30,-0.003136313
per,mkt,monthly,vw_cap,na,41,na,2002-05-31,0.020110084
per,mkt,monthly,vw_cap,na,42,na,2002-06-30,-0.083011646
per,mkt,monthly,vw_cap,na,43,na,2002-07-31,-0.047072456
per,mkt,monthly,vw_cap,na,43,na,2002-08-31,0.0282382486
per,mkt,monthly,vw_cap,na,43,na,2002-09-30,-0.051917892
per,mkt,monthly,vw_cap,na,47,na,2002-10-31,0.0202344721
per,mkt,monthly,vw_cap,na,47,na,2002-11-30,0.0880772507
per,mkt,monthly,vw_cap,na,45,na,2002-12-31,0.0245824834
per,mkt,monthly,vw_cap,na,45,na,2003-01-31,0.0361676291
per,mkt,monthly,vw_cap,na,46,na,2003-02-28,0.0310236488
per,mkt,monthly,vw_cap,na,46,na,2003-03-31,-0.027186144
per,mkt,monthly,vw_cap,na,46,na,2003-04-30,0.11115429
per,mkt,monthly,vw_cap,na,46,na,2003-05-31,0.0059857697
per,mkt,monthly,vw_cap,na,48,na,2003-06-30,0.0352830717
per,mkt,monthly,vw_cap,na,48,na,2003-07-31,0.0257637626
per,mkt,monthly,vw_cap,na,47,na,2003-08-31,0.045461925
per,mkt,monthly,vw_cap,na,47,na,2003-09-30,0.0432849877
per,mkt,monthly,vw_cap,na,51,na,2003-10-31,0.0770935753
per,mkt,monthly,vw_cap,na,51,na,2003-11-30,0.047121011
per,mkt,monthly,vw_cap,na,46,na,2003-12-31,0.0666684253
per,mkt,monthly,vw_cap,na,45,na,2004-01-31,-0.031194797
per,mkt,monthly,vw_cap,na,45,na,2004-02-29,0.0298690602
per,mkt,monthly,vw_cap,na,48,na,2004-03-31,0.1345365661
per,mkt,monthly,vw_cap,na,50,na,2004-04-30,-0.091313863
per,mkt,monthly,vw_cap,na,49,na,2004-05-31,0.0033759308
per,mkt,monthly,vw_cap,na,52,na,2004-06-30,-0.019384452
per,mkt,monthly,vw_cap,na,51,na,2004-07-31,0.0024306899
per,mkt,monthly,vw_cap,na,48,na,2004-08-31,0.0314281725
per,mkt,monthly,vw_cap,na,49,na,2004-09-30,0.0902275372
per,mkt,monthly,vw_cap,na,46,na,2004-10-31,0.0856743519
per,mkt,monthly,vw_cap,na,48,na,2004-11-30,0.0060337157
per,mkt,monthly,vw_cap,na,50,na,2004-12-31,-0.003849298
per,mkt,monthly,vw_cap,na,50,na,2005-01-31,0.043452159
per,mkt,monthly,vw_cap,na,49,na,2005-02-28,0.0314893348
per,mkt,monthly,vw_cap,na,51,na,2005-03-31,0.0016148179
per,mkt,monthly,vw_cap,na,50,na,2005-04-30,0.0141784179
per,mkt,monthly,vw_cap,na,49,na,2005-05-31,-0.004846065
per,mkt,monthly,vw_cap,na,51,na,2005-06-30,0.0389086099
per,mkt,monthly,vw_cap,na,50,na,2005-07-31,0.0600102294
per,mkt,monthly,vw_cap,na,51,na,2005-08-31,0.1079360963
per,mkt,monthly,vw_cap,na,52,na,2005-09-30,0.1492475287
per,mkt,monthly,vw_cap,na,51,na,2005-10-31,-0.11414069
per,mkt,monthly,vw_cap,na,48,na,2005-11-30,0.0182094765
per,mkt,monthly,vw_cap,na,48,na,2005-12-31,-0.029745151
per,mkt,monthly,vw_cap,na,50,na,2006-01-31,0.1037444592
per,mkt,monthly,vw_cap,na,50,na,2006-02-28,0.023215365
per,mkt,monthly,vw_cap,na,53,na,2006-03-31,-0.078736422
per,mkt,monthly,vw_cap,na,50,na,2006-04-30,0.1431082273
per,mkt,monthly,vw_cap,na,51,na,2006-05-31,-0.017101889
per,mkt,monthly,vw_cap,na,51,na,2006-06-30,0.102220586
per,mkt,monthly,vw_cap,na,54,na,2006-07-31,0.0851041787
per,mkt,monthly,vw_cap,na,56,na,2006-08-31,0.0475161746
per,mkt,monthly,vw_cap,na,55,na,2006-09-30,0.0715834151
per,mkt,monthly,vw_cap,na,56,na,2006-10-31,0.0344264791
per,mkt,monthly,vw_cap,na,53,na,2006-11-30,0.0337830823
per,mkt,monthly,vw_cap,na,52,na,2006-12-31,0.0636331939
